archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,2093,1679558
sources,10,2097,1679558
sources,10,2098,1679558
sources,10,2099,1679558
sources,10,10886,8
sources,10,2388,8
sources,10,2321,8
sources,10,2269,8
sources,10,2302,8
sources,10,2308,8
sources,10,2257,8
sources,10,2252,8
sources,10,2293,8
sources,10,2265,8
sources,10,2258,8
sources,10,2258,8
sources,10,2247,8
sources,10,2236,8
sources,10,2254,8
sources,10,2274,8
sources,10,2241,8
sources,10,2238,8
sources,10,2271,8
sources,10,2260,8
sources,10,2239,8
sources,10,2280,8
sources,10,2245,8
sources,10,2253,8
sources,10,2257,8
sources,10,2324,8
sources,10,2290,8
sources,10,2258,8
sources,10,2260,8
sources,10,2241,8
sources,10,11634,39
sources,10,2478,39
sources,10,2393,39
sources,10,2404,39
sources,10,2365,39
sources,10,2325,39
sources,10,2330,39
sources,10,2397,39
sources,10,2370,39
sources,10,2380,39
sources,10,2346,39
sources,10,2331,39
sources,10,2378,39
sources,10,2405,39
sources,10,2350,39
sources,10,2356,39
sources,10,2342,39
sources,10,2337,39
sources,10,2351,39
sources,10,2383,39
sources,10,2349,39
sources,10,2376,39
sources,10,2355,39
sources,10,2380,39
sources,10,2415,39
sources,10,2367,39
sources,10,2339,39
sources,10,2355,39
sources,10,2347,39
sources,10,2337,39
sources,10,2290,1679558
sources,10,2142,1679558
sources,10,2153,1679558
sources,10,2117,1679558
sources,10,2156,1679558
sources,10,2113,1679558
sources,10,2130,1679558
sources,10,2155,1679558
sources,10,2108,1679558
sources,10,2193,1679558
sources,10,2103,1679558
sources,10,2125,1679558
sources,10,2131,1679558
sources,10,2118,1679558
sources,10,2117,1679558
sources,10,2156,1679558
sources,10,2094,1679558
sources,10,2110,1679558
sources,10,2153,1679558
sources,10,2142,1679558
sources,10,2160,1679558
sources,10,2111,1679558
sources,10,2117,1679558
sources,10,2124,1679558
sources,10,2173,1679558
sources,10,2131,1679558
sources,10,2138,1679558
sources,10,2096,1679558
sources,10,2111,1679558
sources,10,2104,1679558
sources,10,15640,106
sources,10,2360,106
sources,10,2359,106
sources,10,2347,106
sources,10,2348,106
sources,10,2314,106
sources,10,2327,106
sources,10,2352,106
sources,10,2319,106
sources,10,2349,106
sources,10,2360,106
sources,10,2391,106
sources,10,2338,106
sources,10,2299,106
sources,10,2391,106
sources,10,2345,106
sources,10,2323,106
sources,10,2313,106
sources,10,2362,106
sources,10,2328,106
sources,10,2329,106
sources,10,2317,106
sources,10,2421,106
sources,10,2306,106
sources,10,2320,106
sources,10,2371,106
sources,10,2330,106
sources,10,2325,106
sources,10,2323,106
sources,10,2309,106
sources,10,19244,62
sources,10,2390,62
sources,10,2271,62
sources,10,2253,62
sources,10,2287,62
sources,10,2262,62
sources,10,2253,62
sources,10,2243,62
sources,10,2288,62
sources,10,2197,62
sources,10,2280,62
sources,10,2209,62
sources,10,2336,62
sources,10,2220,62
sources,10,2247,62
sources,10,2224,62
sources,10,2198,62
sources,10,2250,62
sources,10,2213,62
sources,10,2214,62
sources,10,2211,62
sources,10,2244,62
sources,10,2202,62
sources,10,2215,62
sources,10,2226,62
sources,10,2211,62
sources,10,2217,62
sources,10,2244,62
sources,10,2207,62
sources,10,2232,62
sources,10,16932,59
sources,10,2434,59
sources,10,2261,59
sources,10,2277,59
sources,10,2282,59
sources,10,2274,59
sources,10,2273,59
sources,10,2355,59
sources,10,2273,59
sources,10,2298,59
sources,10,2289,59
sources,10,2273,59
sources,10,2283,59
sources,10,2313,59
sources,10,2267,59
sources,10,2287,59
sources,10,2296,59
sources,10,2274,59
sources,10,2284,59
sources,10,2274,59
sources,10,2264,59
sources,10,2280,59
sources,10,2281,59
sources,10,2316,59
sources,10,2296,59
sources,10,2307,59
sources,10,2281,59
sources,10,2280,59
sources,10,2268,59
sources,10,2296,59
sources,10,15955,3
sources,10,2403,3
sources,10,2297,3
sources,10,2274,3
sources,10,2261,3
sources,10,2268,3
sources,10,2294,3
sources,10,2269,3
sources,10,2233,3
sources,10,2240,3
sources,10,2324,3
sources,10,2273,3
sources,10,2295,3
sources,10,2246,3
sources,10,2257,3
sources,10,2301,3
sources,10,2258,3
sources,10,2253,3
sources,10,2280,3
sources,10,2287,3
sources,10,2279,3
sources,10,2254,3
sources,10,2270,3
sources,10,2262,3
sources,10,2246,3
sources,10,2300,3
sources,10,2284,3
sources,10,2256,3
sources,10,2281,3
sources,10,2313,3
sources,10,16002,471059
sources,10,2224,471059
sources,10,2177,471059
sources,10,2175,471059
sources,10,2181,471059
sources,10,2226,471059
sources,10,2180,471059
sources,10,2171,471059
sources,10,2160,471059
sources,10,2242,471059
sources,10,2169,471059
sources,10,2177,471059
sources,10,2160,471059
sources,10,2150,471059
sources,10,2211,471059
sources,10,2208,471059
sources,10,2148,471059
sources,10,2175,471059
sources,10,2222,471059
sources,10,2146,471059
sources,10,2167,471059
sources,10,2155,471059
sources,10,2158,471059
sources,10,2141,471059
sources,10,2219,471059
sources,10,2164,471059
sources,10,2154,471059
sources,10,2212,471059
sources,10,2194,471059
sources,10,2160,471059
sources,10,14981,1
sources,10,2428,1
sources,10,2348,1
sources,10,2298,1
sources,10,2340,1
sources,10,2276,1
sources,10,2287,1
sources,10,2278,1
sources,10,2290,1
sources,10,2319,1
sources,10,2278,1
sources,10,2285,1
sources,10,2317,1
sources,10,2325,1
sources,10,2317,1
sources,10,2308,1
sources,10,2265,1
sources,10,2281,1
sources,10,2314,1
sources,10,2279,1
sources,10,2261,1
sources,10,2337,1
sources,10,2265,1
sources,10,2265,1
sources,10,2320,1
sources,10,2307,1
sources,10,2311,1
sources,10,2280,1
sources,10,2330,1
sources,10,2277,1
sources,10,15890,5
sources,10,2488,5
sources,10,2399,5
sources,10,2377,5
sources,10,2380,5
sources,10,2393,5
sources,10,2373,5
sources,10,2420,5
sources,10,2344,5
sources,10,2364,5
sources,10,2349,5
sources,10,2353,5
sources,10,2337,5
sources,10,2358,5
sources,10,2405,5
sources,10,2379,5
sources,10,2331,5
sources,10,2349,5
sources,10,2352,5
sources,10,2376,5
sources,10,2357,5
sources,10,2375,5
sources,10,2345,5
sources,10,2349,5
sources,10,2345,5
sources,10,2406,5
sources,10,2364,5
sources,10,2366,5
sources,10,2354,5
sources,10,2351,5
sources,10,14926,1
sources,10,2444,1
sources,10,2360,1
sources,10,2340,1
sources,10,2337,1
sources,10,2341,1
sources,10,2287,1
sources,10,2276,1
sources,10,2263,1
sources,10,2270,1
sources,10,2270,1
sources,10,2273,1
sources,10,2318,1
sources,10,2323,1
sources,10,2280,1
sources,10,2318,1
sources,10,2296,1
sources,10,2264,1
sources,10,2293,1
sources,10,2322,1
sources,10,2268,1
sources,10,2297,1
sources,10,2273,1
sources,10,2331,1
sources,10,2281,1
sources,10,2283,1
sources,10,2270,1
sources,10,2262,1
sources,10,2275,1
sources,10,2277,1
sources,10,18224,5
sources,10,2305,5
sources,10,2262,5
sources,10,2234,5
sources,10,2218,5
sources,10,2239,5
sources,10,2207,5
sources,10,2216,5
sources,10,2210,5
sources,10,2215,5
sources,10,2212,5
sources,10,2242,5
sources,10,2238,5
sources,10,2219,5
sources,10,2225,5
sources,10,2211,5
sources,10,2206,5
sources,10,2254,5
sources,10,2273,5
sources,10,2246,5
sources,10,2237,5
sources,10,2225,5
sources,10,2217,5
sources,10,2217,5
sources,10,2239,5
sources,10,2209,5
sources,10,2232,5
sources,10,2225,5
sources,10,2244,5
sources,10,2210,5
sources,10,20512,330
sources,10,2366,330
sources,10,2321,330
sources,10,2310,330
sources,10,2297,330
sources,10,2302,330
sources,10,2345,330
sources,10,2340,330
sources,10,2298,330
sources,10,2310,330
sources,10,2295,330
sources,10,2334,330
sources,10,2309,330
sources,10,2314,330
sources,10,2305,330
sources,10,2334,330
sources,10,2426,330
sources,10,2300,330
sources,10,2354,330
sources,10,2301,330
sources,10,2300,330
sources,10,2308,330
sources,10,2309,330
sources,10,2343,330
sources,10,2308,330
sources,10,2311,330
sources,10,2324,330
sources,10,2292,330
sources,10,2425,330
sources,10,2314,330
sources,10,15401,1
sources,10,2440,1
sources,10,2343,1
sources,10,2338,1
sources,10,2301,1
sources,10,2314,1
sources,10,2309,1
sources,10,2317,1
sources,10,2337,1
sources,10,2330,1
sources,10,2312,1
sources,10,2337,1
sources,10,2307,1
sources,10,2317,1
sources,10,2310,1
sources,10,2394,1
sources,10,2322,1
sources,10,2305,1
sources,10,2354,1
sources,10,2304,1
sources,10,2302,1
sources,10,2291,1
sources,10,2344,1
sources,10,2322,1
sources,10,2341,1
sources,10,2321,1
sources,10,2310,1
sources,10,2330,1
sources,10,2304,1
sources,10,2296,1
sources,10,13958,16
sources,10,2451,16
sources,10,2439,16
sources,10,2386,16
sources,10,2421,16
sources,10,2365,16
sources,10,2397,16
sources,10,2350,16
sources,10,2396,16
sources,10,2355,16
sources,10,2341,16
sources,10,2360,16
sources,10,2396,16
sources,10,2361,16
sources,10,2365,16
sources,10,2348,16
sources,10,2410,16
sources,10,2401,16
sources,10,2349,16
sources,10,2367,16
sources,10,2382,16
sources,10,2356,16
sources,10,2383,16
