n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Búsqueda
11000001,0.000341953,0.000571323,0.000233,0.00024475,0.000258,0.00026725,0.004737,exponencial
12000001,0.000259922,6.98296e-05,0.000239,0.000244,0.0002465,0.0002585,0.000802,exponencial
13000001,0.000265609,6.30763e-05,0.00024,0.00024775,0.000251,0.00026775,0.000749,exponencial
14000001,0.000270109,0.000103884,0.000246,0.000249,0.000253,0.0002645,0.001084,exponencial
15000001,0.000266781,7.31358e-05,0.000243,0.00024875,0.000252,0.00027,0.000835,exponencial
16000001,0.000266219,8.06827e-05,0.000242,0.000249,0.000253,0.000263,0.000897,exponencial
17000001,0.000247469,6.79811e-05,0.000219,0.000227,0.0002345,0.00025025,0.000769,exponencial
18000001,0.000259234,9.08985e-05,0.000235,0.00024175,0.000245,0.000251,0.000971,exponencial
19000001,0.000261922,6.85135e-05,0.000242,0.000246,0.00025,0.0002575,0.000795,exponencial
20000001,0.000393281,0.00109009,0.000241,0.000246,0.0002505,0.00026575,0.008977,exponencial
21000001,0.000284219,0.00018961,0.000247,0.000252,0.000258,0.00026725,0.001775,exponencial
22000001,0.000275047,7.21945e-05,0.000246,0.00025575,0.0002665,0.000276,0.000835,exponencial
23000001,0.000268219,5.78565e-05,0.000244,0.000251,0.000255,0.0002715,0.000711,exponencial
24000001,0.000277391,0.000134892,0.000247,0.000251,0.0002555,0.00027,0.001335,exponencial
25000001,0.000270953,6.58985e-05,0.000249,0.000253,0.000258,0.00027175,0.000781,exponencial
26000001,0.000282859,6.81678e-05,0.000254,0.000259,0.0002755,0.00028525,0.000809,exponencial
27000001,0.00027575,8.78485e-05,0.000252,0.000258,0.000261,0.00026525,0.000962,exponencial
28000001,0.000276859,7.35229e-05,0.000253,0.000258,0.000262,0.000278,0.000847,exponencial
29000001,0.000274594,7.60893e-05,0.000252,0.000257,0.0002615,0.00027025,0.000867,exponencial
30000001,0.000284469,0.000150074,0.00025,0.000257,0.0002595,0.0002775,0.001462,exponencial
31000001,0.000280203,0.000133894,0.000236,0.000256,0.000259,0.0002695,0.00133,exponencial
32000001,0.000278594,6.28699e-05,0.000255,0.000261,0.0002645,0.00027925,0.000764,exponencial
33000001,0.000277984,8.90854e-05,0.000252,0.000258,0.000263,0.000273,0.000973,exponencial
34000001,0.000247109,6.25562e-05,0.000229,0.00023475,0.0002375,0.000241,0.000735,exponencial
35000001,0.000268141,0.000139212,0.00024,0.000246,0.000248,0.000253,0.001362,exponencial
36000001,0.000276141,0.00012151,0.000244,0.00024975,0.00026,0.000271,0.001228,exponencial
37000001,0.000273922,0.000128102,0.000242,0.000248,0.000253,0.00026925,0.001278,exponencial
38000001,0.000285359,0.000111084,0.000251,0.00025675,0.0002745,0.000284,0.001153,exponencial
39000001,0.000280859,6.52939e-05,0.000251,0.00025875,0.000275,0.000284,0.000784,exponencial
40000001,0.000279203,0.000110007,0.000252,0.000256,0.00026,0.00027525,0.00114,exponencial
41000001,0.000275187,7.92346e-05,0.000251,0.000257,0.00026,0.000275,0.000892,exponencial
42000001,0.000283641,0.000119561,0.000259,0.000262,0.000264,0.00027225,0.001221,exponencial
43000001,0.000284828,8.03282e-05,0.000258,0.000262,0.000272,0.000286,0.000907,exponencial
44000001,0.000301,0.000225357,0.000257,0.00026275,0.000266,0.00028325,0.002072,exponencial
45000001,0.000290734,0.000166989,0.000255,0.00026,0.000265,0.00028125,0.001602,exponencial
46000001,0.00029175,0.000150549,0.000256,0.000261,0.0002715,0.000283,0.001474,exponencial
47000001,0.000280641,0.000111261,0.000254,0.00026175,0.000264,0.00026875,0.001154,exponencial
48000001,0.000282109,0.000121883,0.000255,0.00025975,0.0002625,0.00027125,0.001238,exponencial
49000001,0.000303125,0.000257324,0.000257,0.00026,0.0002645,0.000283,0.002327,exponencial
50000001,0.00028775,0.00013773,0.000254,0.000262,0.000266,0.00028025,0.001368,exponencial
51000001,0.000301656,0.000177791,0.000262,0.000268,0.0002765,0.00029025,0.001698,exponencial
52000001,0.000282859,6.93262e-05,0.000261,0.000266,0.00027,0.00028,0.00082,exponencial
53000001,0.000291578,7.25538e-05,0.000264,0.000268,0.0002845,0.00029325,0.000854,exponencial
54000001,0.000300313,0.000170505,0.00026,0.00026775,0.000276,0.00028825,0.001639,exponencial
55000001,0.000288141,0.000100072,0.000262,0.00026775,0.00027,0.00028425,0.001071,exponencial
56000001,0.000281719,6.90384e-05,0.000261,0.00026475,0.0002685,0.00028325,0.000817,exponencial
57000001,0.000306516,0.000193028,0.000261,0.00026975,0.000284,0.000293,0.001823,exponencial
