archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,1587,106
sources,10,1580,106
sources,10,1568,106
sources,10,1587,106
sources,10,1575,106
sources,10,1610,106
sources,10,1581,106
sources,10,1609,106
sources,10,1572,106
sources,10,1566,106
sources,10,1703,106
sources,10,1597,106
sources,10,1649,106
sources,10,21727,62
sources,10,2067,62
sources,10,1473,62
sources,10,1399,62
sources,10,1416,62
sources,10,1407,62
sources,10,1385,62
sources,10,1364,62
sources,10,1378,62
sources,10,1392,62
sources,10,1374,62
sources,10,1373,62
sources,10,1372,62
sources,10,1367,62
sources,10,1350,62
sources,10,1389,62
sources,10,1365,62
sources,10,1388,62
sources,10,1380,62
sources,10,1366,62
sources,10,1412,62
sources,10,1353,62
sources,10,1370,62
sources,10,1383,62
sources,10,1404,62
sources,10,1362,62
sources,10,1389,62
sources,10,1347,62
sources,10,1342,62
sources,10,1346,62
sources,10,19109,59
sources,10,1756,59
sources,10,1273,59
sources,10,1213,59
sources,10,1157,59
sources,10,1168,59
sources,10,1150,59
sources,10,1164,59
sources,10,1146,59
sources,10,1124,59
sources,10,1109,59
sources,10,1155,59
sources,10,1220,59
sources,10,1186,59
sources,10,1192,59
sources,10,1155,59
sources,10,1166,59
sources,10,1132,59
sources,10,1140,59
sources,10,1195,59
sources,10,1213,59
sources,10,1166,59
sources,10,1113,59
sources,10,1139,59
sources,10,1184,59
sources,10,1139,59
sources,10,1182,59
sources,10,1172,59
sources,10,1140,59
sources,10,1164,59
sources,10,11865,3
sources,10,941,3
sources,10,680,3
sources,10,674,3
sources,10,684,3
sources,10,695,3
sources,10,690,3
sources,10,652,3
sources,10,699,3
sources,10,680,3
sources,10,696,3
sources,10,665,3
sources,10,649,3
sources,10,660,3
sources,10,723,3
sources,10,685,3
sources,10,656,3
sources,10,659,3
sources,10,649,3
sources,10,678,3
sources,10,662,3
sources,10,685,3
sources,10,670,3
sources,10,670,3
sources,10,669,3
sources,10,704,3
sources,10,679,3
sources,10,718,3
sources,10,695,3
sources,10,700,3
sources,10,32628628,471059
sources,10,29702957,471059
sources,10,29869521,471059
sources,10,29983457,471059
sources,10,29678166,471059
sources,10,29644235,471059
sources,10,29524735,471059
sources,10,29618269,471059
sources,10,30106734,471059
sources,10,29635371,471059
sources,10,29818380,471059
sources,10,32217609,471059
sources,10,30194484,471059
sources,10,29738989,471059
sources,10,29630119,471059
sources,10,29743116,471059
sources,10,29586571,471059
sources,10,29776751,471059
sources,10,29871609,471059
sources,10,29968211,471059
sources,10,29873250,471059
sources,10,30808413,471059
sources,10,30545254,471059
sources,10,29713577,471059
sources,10,29992371,471059
sources,10,29765344,471059
sources,10,29694823,471059
sources,10,29605577,471059
