archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,592,5
sources,10,617,5
sources,10,594,5
sources,10,589,5
sources,10,610,5
sources,10,601,5
sources,10,628,5
sources,10,626,5
sources,10,601,5
sources,10,683,5
sources,10,622,5
sources,10,687,5
sources,10,613,5
sources,10,603,5
sources,10,614,5
sources,10,611,5
sources,10,679,5
sources,10,593,5
sources,10,630,5
sources,10,613,5
sources,10,648,5
sources,10,634,5
sources,10,591,5
sources,10,590,5
sources,10,10853,1
sources,10,683,1
sources,10,474,1
sources,10,460,1
sources,10,479,1
sources,10,439,1
sources,10,413,1
sources,10,456,1
sources,10,471,1
sources,10,431,1
sources,10,423,1
sources,10,402,1
sources,10,409,1
sources,10,407,1
sources,10,455,1
sources,10,442,1
sources,10,447,1
sources,10,418,1
sources,10,466,1
sources,10,434,1
sources,10,435,1
sources,10,442,1
sources,10,440,1
sources,10,424,1
sources,10,502,1
sources,10,413,1
sources,10,408,1
sources,10,452,1
sources,10,406,1
sources,10,409,1
sources,10,10774,5
sources,10,745,5
sources,10,609,5
sources,10,618,5
sources,10,562,5
sources,10,526,5
sources,10,580,5
sources,10,562,5
sources,10,526,5
sources,10,547,5
sources,10,542,5
sources,10,518,5
sources,10,532,5
sources,10,524,5
sources,10,564,5
sources,10,521,5
sources,10,519,5
sources,10,590,5
sources,10,524,5
sources,10,551,5
sources,10,527,5
sources,10,514,5
sources,10,578,5
sources,10,541,5
sources,10,517,5
sources,10,512,5
sources,10,597,5
sources,10,516,5
sources,10,525,5
sources,10,523,5
sources,10,60464,330
sources,10,13266,330
sources,10,10707,330
sources,10,9921,330
sources,10,9918,330
sources,10,9580,330
sources,10,9671,330
sources,10,9596,330
sources,10,9626,330
sources,10,9573,330
sources,10,9579,330
sources,10,9502,330
sources,10,9680,330
sources,10,9670,330
sources,10,9691,330
sources,10,9622,330
sources,10,9721,330
sources,10,9778,330
sources,10,9557,330
sources,10,9596,330
sources,10,9566,330
sources,10,9429,330
sources,10,9476,330
sources,10,9480,330
sources,10,9446,330
sources,10,9420,330
sources,10,9310,330
sources,10,9434,330
sources,10,9495,330
sources,10,9471,330
sources,10,11580,1
sources,10,947,1
sources,10,654,1
sources,10,544,1
sources,10,510,1
sources,10,522,1
sources,10,464,1
sources,10,492,1
sources,10,461,1
sources,10,461,1
sources,10,465,1
sources,10,464,1
sources,10,465,1
sources,10,485,1
sources,10,472,1
sources,10,461,1
sources,10,492,1
sources,10,466,1
sources,10,496,1
sources,10,515,1
sources,10,462,1
sources,10,463,1
sources,10,490,1
sources,10,462,1
sources,10,463,1
sources,10,464,1
sources,10,455,1
sources,10,499,1
sources,10,464,1
sources,10,457,1
sources,10,11722,16
sources,10,1533,16
sources,10,1098,16
sources,10,1013,16
sources,10,912,16
sources,10,895,16
sources,10,895,16
sources,10,892,16
sources,10,867,16
sources,10,912,16
sources,10,920,16
sources,10,898,16
sources,10,879,16
sources,10,868,16
sources,10,876,16
sources,10,907,16
sources,10,902,16
sources,10,898,16
sources,10,912,16
sources,10,882,16
sources,10,928,16
sources,10,885,16
sources,10,880,16
sources,10,869,16
sources,10,897,16
sources,10,881,16
sources,10,862,16
sources,10,904,16
sources,10,906,16
sources,10,896,16
sources,10,67947,559
sources,10,23575,559
sources,10,20553,559
sources,10,18150,559
sources,10,17005,559
sources,10,16284,559
sources,10,15922,559
sources,10,15923,559
sources,10,15924,559
sources,10,15795,559
sources,10,15801,559
sources,10,15766,559
sources,10,15809,559
sources,10,15772,559
sources,10,15671,559
sources,10,15913,559
sources,10,15623,559
sources,10,15603,559
sources,10,15638,559
sources,10,15685,559
sources,10,15500,559
sources,10,15841,559
sources,10,15831,559
sources,10,15632,559
sources,10,15517,559
sources,10,15684,559
sources,10,15695,559
sources,10,15495,559
sources,10,15343,559
sources,10,15601,559
sources,10,6038,3
sources,10,970,3
sources,10,546,3
sources,10,539,3
sources,10,507,3
sources,10,480,3
sources,10,495,3
sources,10,481,3
sources,10,510,3
sources,10,493,3
sources,10,473,3
sources,10,503,3
sources,10,502,3
sources,10,476,3
sources,10,475,3
sources,10,480,3
sources,10,484,3
sources,10,502,3
sources,10,483,3
sources,10,529,3
sources,10,477,3
sources,10,514,3
sources,10,487,3
sources,10,513,3
sources,10,490,3
sources,10,481,3
sources,10,529,3
sources,10,491,3
sources,10,486,3
sources,10,478,3
sources,10,3603,2
sources,10,833,2
sources,10,560,2
sources,10,552,2
sources,10,518,2
sources,10,497,2
sources,10,503,2
sources,10,503,2
sources,10,521,2
sources,10,506,2
sources,10,492,2
sources,10,525,2
sources,10,500,2
sources,10,494,2
sources,10,493,2
sources,10,529,2
sources,10,507,2
sources,10,499,2
sources,10,504,2
sources,10,503,2
sources,10,500,2
sources,10,502,2
sources,10,497,2
sources,10,493,2
sources,10,499,2
sources,10,499,2
sources,10,494,2
sources,10,493,2
sources,10,523,2
sources,10,532,2
sources,10,664067,5094
sources,10,338860,5094
sources,10,305236,5094
sources,10,300544,5094
sources,10,297988,5094
sources,10,295551,5094
sources,10,296527,5094
sources,10,293850,5094
sources,10,294298,5094
sources,10,292546,5094
sources,10,293255,5094
sources,10,291272,5094
sources,10,292088,5094
sources,10,290522,5094
sources,10,295500,5094
sources,10,297125,5094
sources,10,290550,5094
sources,10,290158,5094
sources,10,289951,5094
sources,10,289293,5094
sources,10,289974,5094
sources,10,289615,5094
sources,10,289346,5094
sources,10,289375,5094
sources,10,288610,5094
sources,10,288257,5094
sources,10,288276,5094
sources,10,288100,5094
sources,10,293730,5094
sources,10,290428,5094
sources,10,65849,315
sources,10,11625,315
sources,10,9863,315
sources,10,9332,315
sources,10,9215,315
sources,10,9141,315
sources,10,9075,315
sources,10,9122,315
sources,10,9027,315
sources,10,8926,315
sources,10,9089,315
sources,10,8973,315
sources,10,8993,315
sources,10,9166,315
sources,10,9016,315
sources,10,8982,315
sources,10,9103,315
sources,10,9089,315
sources,10,9038,315
sources,10,8969,315
sources,10,8880,315
sources,10,8855,315
sources,10,9093,315
sources,10,8979,315
sources,10,9019,315
sources,10,9088,315
sources,10,9048,315
sources,10,8959,315
sources,10,9030,315
sources,10,9051,315
sources,10,98299,607
sources,10,23728,607
sources,10,19300,607
sources,10,17665,607
sources,10,17206,607
sources,10,17021,607
sources,10,16882,607
sources,10,16766,607
sources,10,16824,607
sources,10,16940,607
sources,10,16944,607
sources,10,16897,607
sources,10,16913,607
sources,10,16972,607
sources,10,16855,607
sources,10,16937,607
sources,10,16718,607
sources,10,16861,607
sources,10,16853,607
sources,10,16795,607
sources,10,16928,607
sources,10,16795,607
sources,10,17032,607
sources,10,16949,607
sources,10,16956,607
sources,10,16867,607
sources,10,16963,607
sources,10,16713,607
sources,10,16819,607
sources,10,16788,607
sources,10,7926,2
sources,10,845,2
sources,10,637,2
sources,10,683,2
sources,10,604,2
sources,10,602,2
sources,10,581,2
sources,10,562,2
sources,10,580,2
sources,10,580,2
sources,10,564,2
sources,10,564,2
sources,10,566,2
sources,10,565,2
sources,10,562,2
sources,10,576,2
sources,10,586,2
sources,10,568,2
sources,10,562,2
sources,10,604,2
sources,10,569,2
sources,10,561,2
sources,10,564,2
sources,10,570,2
sources,10,562,2
sources,10,565,2
sources,10,562,2
sources,10,564,2
sources,10,581,2
sources,10,575,2
sources,10,11300,21
sources,10,1426,21
sources,10,1108,21
sources,10,1042,21
sources,10,1067,21
sources,10,1045,21
sources,10,1105,21
sources,10,1038,21
sources,10,1049,21
sources,10,1033,21
sources,10,1079,21
sources,10,1066,21
sources,10,1082,21
sources,10,1074,21
sources,10,1077,21
sources,10,1095,21
sources,10,1075,21
sources,10,1045,21
sources,10,1048,21
sources,10,1064,21
sources,10,1117,21
sources,10,1062,21
sources,10,1039,21
sources,10,1105,21
sources,10,1053,21
sources,10,1034,21
sources,10,1044,21
sources,10,1046,21
sources,10,1061,21
sources,10,1092,21
sources,10,7567,1
sources,10,578,1
sources,10,416,1
sources,10,388,1
sources,10,436,1
sources,10,373,1
sources,10,360,1
sources,10,383,1
sources,10,377,1
sources,10,356,1
sources,10,384,1
sources,10,364,1
sources,10,355,1
sources,10,355,1
sources,10,409,1
sources,10,396,1
sources,10,351,1
sources,10,360,1
sources,10,355,1
sources,10,354,1
sources,10,358,1
sources,10,357,1
sources,10,357,1
sources,10,359,1
sources,10,353,1
sources,10,389,1
sources,10,364,1
sources,10,356,1
sources,10,359,1
sources,10,355,1
sources,10,277008,1738
sources,10,93075,1738
sources,10,84160,1738
sources,10,79892,1738
sources,10,77096,1738
sources,10,74145,1738
sources,10,72788,1738
sources,10,71408,1738
sources,10,70053,1738
sources,10,68851,1738
sources,10,68473,1738
sources,10,67965,1738
sources,10,67215,1738
sources,10,66442,1738
sources,10,66677,1738
sources,10,66224,1738
sources,10,65753,1738
sources,10,65319,1738
sources,10,70194,1738
sources,10,73196,1738
sources,10,70641,1738
sources,10,68098,1738
sources,10,65871,1738
sources,10,64766,1738
sources,10,63058,1738
sources,10,62820,1738
sources,10,66267,1738
sources,10,61071,1738
sources,10,60549,1738
sources,10,60024,1738
sources,10,115370,818
sources,10,35107,818
sources,10,28401,818
sources,10,25724,818
sources,10,24844,818
sources,10,23822,818
sources,10,23685,818
sources,10,23271,818
sources,10,22993,818
sources,10,22877,818
sources,10,23176,818
sources,10,23076,818
sources,10,23265,818
sources,10,22889,818
sources,10,23198,818
sources,10,23140,818
sources,10,23342,818
sources,10,23056,818
sources,10,22867,818
sources,10,22971,818
sources,10,22970,818
sources,10,23050,818
sources,10,22957,818
sources,10,23091,818
sources,10,23005,818
sources,10,23090,818
sources,10,23044,818
sources,10,22897,818
sources,10,23036,818
sources,10,23171,818
sources,10,8540,1
sources,10,631,1
sources,10,440,1
sources,10,371,1
sources,10,380,1
sources,10,380,1
sources,10,383,1
sources,10,413,1
sources,10,413,1
sources,10,416,1
sources,10,389,1
sources,10,374,1
sources,10,380,1
sources,10,426,1
sources,10,404,1
sources,10,385,1
sources,10,374,1
sources,10,403,1
sources,10,383,1
sources,10,366,1
sources,10,386,1
sources,10,382,1
sources,10,380,1
sources,10,384,1
sources,10,378,1
sources,10,379,1
sources,10,393,1
